縣市,區域別,年底人口數,土地面積,人口密度
新北市,板橋區,551480,23.1373,23835
新北市,三重區,387484,16.317,23747
新北市,中和區,413590,20.144,20532
新北市,永和區,222585,5.7138,38956
新北市,新莊區,416524,19.7383,21102
新北市,新店區,302089,120.2255,2513
新北市,樹林區,184149,33.1288,5559
新北市,鶯歌區,86593,21.1248,4099
新北市,三峽區,114926,191.4508,600
新北市,淡水區,169597,70.6565,2400
新北市,汐止區,199321,71.2354,2798
新北市,瑞芳區,40353,70.7336,570
新北市,土城區,238067,29.5578,8054
新北市,蘆洲區,201309,7.4351,27075
新北市,五股區,84919,34.8632,2436
新北市,泰山區,78911,19.1603,4118
新北市,林口區,106101,54.1519,1959
新北市,深坑區,23660,20.5787,1150
新北市,石碇區,7683,144.3498,53
新北市,坪林區,6528,170.835,38
新北市,三芝區,23200,65.9909,352
新北市,石門區,12286,51.2645,240
新北市,八里區,38493,39.4933,975
新北市,平溪區,4719,71.3382,66
新北市,雙溪區,8939,146.2484,61
新北市,貢寮區,12552,99.9734,126
新北市,金山區,22015,49.2132,447
新北市,萬里區,22296,63.3766,352
新北市,烏來區,6320,321.1306,20
臺北市,松山區,206988,9.2878,22286
臺北市,信義區,225753,11.2077,20143
臺北市,大安區,309969,11.3614,27283
臺北市,中山區,230710,13.6821,16862
臺北市,中正區,159608,7.6071,20981
臺北市,大同區,129278,5.6815,22754
臺北市,萬華區,191850,8.8522,21673
臺北市,文山區,274424,31.509,8709
臺北市,南港區,122155,21.8424,5593
臺北市,內湖區,287771,31.5787,9113
臺北市,士林區,288295,62.3682,4622
臺北市,北投區,256456,56.8216,4513
桃園市,桃園區,440840,34.8046,12666
桃園市,中壢區,405216,76.52,5296
桃園市,大溪區,94451,105.1206,899
桃園市,楊梅區,167639,89.1229,1881
桃園市,蘆竹區,161912,75.5025,2144
桃園市,大園區,89281,87.3925,1022
桃園市,龜山區,157633,72.0177,2189
桃園市,八德區,198074,33.7111,5876
桃園市,龍潭區,121822,75.2341,1619
桃園市,平鎮區,224219,47.7532,4695
桃園市,新屋區,48953,85.0166,576
桃園市,觀音區,66472,87.9807,756
桃園市,復興區,11505,350.7775,33
臺中市,市中區,18450,0.8803,20959
臺中市,市東區,75811,9.2855,8164
臺中市,市南區,125067,6.8101,18365
臺中市,市西區,115627,5.7042,20271
臺中市,市北區,147653,6.9376,21283
臺中市,西屯區,227043,39.8467,5698
臺中市,南屯區,168760,31.2578,5399
臺中市,北屯區,274819,62.7034,4383
臺中市,豐原區,166879,41.1845,4052
臺中市,東勢區,50714,117.4065,432
